There are 180,350 different words in the collocation database for this query (Query "{stellen/V}" (case-sensitive) returned 249,044 matches in 197,633 different texts)  
__________________

No.	Word	Total no. in whole corpus	Expected collocate frequency	Observed collocate frequency	In no. of texts
3566	1945	14565	79.711	47	47
3567	27.	12834	70.238	47	46
3568	Abtreibung	5463	29.898	47	46
3569	Albaner	4988	27.298	47	46
3570	Ali	10697	58.542	47	46
3571	Ansatz	8580	46.956	47	47
3572	Bagdad	13207	72.279	47	47
3573	Belegschaft	7081	38.753	47	47
3574	Betrachtung	3262	17.852	47	47
3575	Dokument	5567	30.467	47	46
3576	Sachbeschädigung	1684	9.216	47	46
3577	Scharon	5602	30.659	47	46
3578	Sozialismus	11546	63.189	47	46
3579	Stasi	11222	61.416	47	47
3580	Stephan	7214	39.481	47	46
3581	Struktur	9763	53.431	47	47
3582	Technologie	5646	30.899	47	45
3583	Termin	12839	70.265	47	47
3584	Umweltbehörde	4066	22.252	47	47
3585	Verhandlung	7105	38.884	47	45
3586	War	14001	76.624	47	47
3587	Zuge	10944	59.894	47	46
3588	Zusätzlich	4257	23.298	47	47
3589	bayerische	7160	39.185	47	47
3590	beendet	18002	98.521	47	47
3591	bißchen	19526	106.861	47	47
3592	chinesischen	14617	79.996	47	47
3593	Werder	12519	68.514	46	45
3594	alter	16355	89.507	46	46
3595	bundesdeutschen	8553	46.809	46	45
3596	derartige	7439	40.712	46	46
3597	entsprechendes	2999	16.413	46	46
3598	entsteht	16081	88.008	46	46
3599	Elke	6410	35.081	46	46
3600	England	16550	90.574	46	46
3601	Erweiterung	6640	36.339	46	45
3602	Genf	9046	49.507	46	44
3603	Griechenland	9842	53.863	46	46
3604	Information	10802	59.117	46	46
3605	geändert	18261	99.938	46	46
3606	hierfür	3694	20.216	46	46
3607	hilft	19313	105.696	46	46
3608	hinzu	17057	93.349	46	46
3609	irgendwie	21397	117.101	46	46
3610	jetzige	6742	36.898	46	46
3611	kostenfrei	754	4.127	46	46
3612	mehrheitlich	6535	35.765	46	46
3613	mittels	7621	41.708	46	46
3614	mutmaßliche	6124	33.515	46	46
3615	namens	13570	74.266	46	46
3616	präsentieren	13526	74.025	46	46
3617	rhetorische	992	5.429	46	46
3618	schien	18494	101.214	46	45
3619	serbische	8329	45.583	46	46
3620	Materialien	4223	23.112	46	46
3621	Michel	8123	44.455	46	45
3622	Neukölln	9810	53.688	46	45
3623	Ost-Berlin	8211	44.937	46	46
3624	Politikern	11271	61.684	46	44
3625	Preise	20662	113.079	46	46
3626	SED	8145	44.576	46	45
3627	Schaufenster	2852	15.608	46	45
3628	Seehofer	5901	32.295	46	41
3629	Stellvertreter	5546	30.352	46	46
3630	Straßenrand	2312	12.653	46	45
3631	Studierende	7034	38.496	46	44
3632	Talent	4730	25.886	46	46
3633	Theo	6513	35.644	46	46
3634	US	12246	67.02	46	46
3635	Udo	8590	47.011	46	45
3636	verfolgt	16406	89.786	46	46
3637	versuchte	17984	98.422	46	46
3638	weitaus	6051	33.116	46	46
3639	Änderung	11239	61.509	46	46
3640	25.	13108	71.737	46	46
3641	AP	22846	125.031	46	46
3642	Aufgrund	6504	35.595	46	46
3643	Ausgaben	11477	62.811	46	46
3644	Behauptungen	3227	17.661	46	46
3645	Betrag	5213	28.53	46	45
3646	Boris	11326	61.985	46	45
3647	City	22213	121.567	46	46
3648	Dietrich	6818	37.313	46	46
3649	Eckpunkte	1456	7.968	46	45
3650	1980	10828	59.259	45	43
3651	23.	12358	67.633	45	44
3652	26.	11974	65.531	45	45
3653	29.	10541	57.689	45	45
3654	31	10613	58.083	45	45
3655	Aktivisten	8345	45.67	45	45
3656	Alten	12002	65.684	45	45
3657	Anbieter	6571	35.962	45	45
3658	Angehörigen	10073	55.127	45	45
3659	Anschlag	18826	103.031	45	44
3660	Anzeigen	5844	31.983	45	45
3661	Argumente	9478	51.871	45	44
3662	Auge	19557	107.031	45	43
3663	Ausschuss	5167	28.278	45	45
3664	Baum	8234	45.063	45	45
3665	Bewegungen	10589	57.951	45	44
3666	Branche	13051	71.425	45	44
3667	Bundesland	8169	44.707	45	45
3668	Bus	13618	74.528	45	45
3669	Demnach	7365	40.307	45	45
3670	Einbürgerungsantrag	99	0.542	45	40
3671	Einkommen	12084	66.133	45	45
3672	Einschätzung	14457	79.12	45	45
3673	frühen	18787	102.817	45	45
3674	halb	15190	83.132	45	45
3675	halben	14637	80.105	45	45
3676	heißen	23075	126.284	45	45
3677	illegal	10162	55.614	45	45
3678	irgendwelche	5223	28.584	45	45
3679	italienische	9668	52.911	45	44
3680	jüdische	11776	64.447	45	45
3681	katholischen	10337	56.572	45	45
3682	kulturelle	11182	61.197	45	44
3683	langem	12175	66.631	45	45
3684	menschliche	8473	46.371	45	45
3685	palästinensische	7098	38.846	45	43
3686	rtr	12960	70.927	45	45
3687	Weihnachten	12804	70.073	45	45
3688	Westberliner	7356	40.258	45	44
3689	Zuletzt	7537	41.248	45	45
3690	beinahe	12072	66.067	45	45
3691	betrifft	11730	64.196	45	45
3692	erneuten	5023	27.49	45	45
3693	ernste	2161	11.827	45	45
3694	erschienen	16889	92.43	45	45
3695	Europäer	7914	43.312	45	45
3696	Flugzeug	8729	47.772	45	45
3697	Handlungen	4269	23.363	45	45
3698	Hausfriedensbruch	710	3.886	45	44
3699	I	26727	146.271	45	44
3700	IN	12405	67.89	45	43
3701	Integrität	2246	12.292	45	45
3702	Internetseite	2437	13.337	45	45
3703	Italiener	7095	38.829	45	45
3704	tief	18645	102.04	45	45
3705	wesentlichen	8191	44.828	45	45
3706	zumeist	8629	47.225	45	45
3707	überprüft	7880	43.126	45	45
3708	Modernisierung	6942	37.992	45	45
3709	Papiere	6387	34.955	45	45
3710	Papst	10327	56.517	45	42
3711	Redner	4348	23.796	45	45
3712	Rüdiger	5588	30.582	45	45
3713	Schließung	13402	73.346	45	45
3714	Soforthilfe	770	4.214	45	44
3715	Sozialamt	4156	22.745	45	43
3716	Sprechende	141	0.772	45	45
3717	Sänger	10377	56.791	45	45
3718	Tasche	9408	51.488	45	44
3719	Umbau	8529	46.677	45	45
3720	Ungarn	12190	66.713	45	44
3721	Unterschiede	8898	48.697	45	45
3722	Vereine	7426	40.641	45	45
3723	Referendum	6260	34.26	44	41
3724	Regierende	6437	35.228	44	43
3725	Richtig	6997	38.293	44	44
3726	Sarajevo	9094	49.769	44	42
3727	Sieger	9868	54.005	44	44
3728	Sonne	21265	116.379	44	44
3729	Stolz	7606	41.626	44	44
3730	Teilnahme	12407	67.901	44	44
3731	Ukraine	10264	56.173	44	42
3732	World	11818	64.677	44	44
3733	Zumindest	11174	61.153	44	43
3734	alternative	5893	32.251	44	44
3735	besetzt	18390	100.644	44	44
3736	derzeitigen	8167	44.696	44	44
3737	drauf	11996	65.651	44	42
3738	eigentlichen	7422	40.619	44	44
3739	ergeben	14212	77.779	44	44
3740	0	50340	275.5	44	43
3741	2011	8638	47.274	44	43
3742	28	16248	88.922	44	44
3743	Aids	10632	58.187	44	44
3744	Angestellten	11013	60.272	44	44
3745	Anwohner	10543	57.7	44	44
3746	Aufruf	9975	54.591	44	44
3747	Autobahn	8800	48.16	44	44
3748	Besitz	10195	55.795	44	43
3749	Bezirke	7820	42.797	44	44
3750	Brandt	7252	39.689	44	43
3751	Chefredakteur	8288	45.358	44	43
3752	Clement	6745	36.914	44	42
3753	DER	14612	79.968	44	42
3754	Details	12561	68.744	44	43
3755	Dienste	8082	44.231	44	44
3756	fördern	13894	76.039	44	44
3757	geborene	7473	40.898	44	44
3758	gegenwärtig	8561	46.852	44	44
3759	gehandelt	13556	74.189	44	44
3760	gelegt	18813	102.959	44	44
3761	geringe	6002	32.848	44	43
3762	getötet	29896	163.614	44	43
3763	inwieweit	2540	13.901	44	44
3764	jenseits	14105	77.194	44	44
3765	konservativen	10635	58.203	44	44
3766	kostet	24277	132.863	44	44
3767	liebsten	11918	65.225	44	44
3768	machten	20142	110.233	44	44
3769	praktische	4422	24.201	44	44
3770	produziert	15911	87.077	44	44
3771	schneller	17500	95.774	44	44
3772	schwarzen	22511	123.198	44	44
3773	schützen	17650	96.595	44	44
3774	Kongress	6583	36.027	44	42
3775	Maschinen	8835	48.352	44	43
3776	Maßnahme	9275	50.76	44	43
3777	Petra	10578	57.891	44	44
3778	Pfarrer	8015	43.864	44	43
3779	RTL	10222	55.943	44	43
3780	Ferner	3305	18.088	44	44
3781	Filmen	12265	67.124	44	44
3782	Freundschaft	7762	42.48	44	41
3783	Gretchenfrage	472	2.583	44	44
3784	Hartz	10592	57.968	44	43
3785	Helga	6019	32.941	44	44
3786	Jones	5884	32.202	44	44
3787	Karten	12760	69.833	44	43
3788	Keiner	7301	39.957	44	44
3789	teuer	17454	95.522	44	44
3790	unbekannt	6019	32.941	44	44
3791	unlängst	5075	27.774	44	44
3792	vieler	13952	76.356	44	44
3793	zumal	12599	68.952	44	44
3794	umstrittene	9506	52.024	43	43
3795	wen	8162	44.669	43	43
3796	zweiter	10357	56.682	43	43
3797	ähnlichen	7274	39.809	43	43
3798	ökologisch	8165	44.685	43	42
3799	übernimmt	11372	62.236	43	43
3800	üblichen	11271	61.684	43	43
3801	32	13453	73.625	43	43
3802	46	12858	70.369	43	43
3803	Abschluß	9114	49.879	43	43
3804	Belieben	1284	7.027	43	43
3805	Berichterstattung	9365	51.253	43	39
3806	Besetzung	12009	65.723	43	43
3807	Bundesgerichtshof	4540	24.846	43	43
3808	Bäume	10231	55.992	43	41
3809	DFB	5890	32.235	43	42
3810	Damen	12485	68.328	43	42
3811	Dokumentarfilm	6802	37.226	43	43
3812	Regen	12639	69.17	43	42
3813	Regie	21577	118.086	43	42
3814	Rot	5870	32.125	43	43
3815	Ruanda	8073	44.182	43	41
3816	Schiedsrichter	5156	28.218	43	41
3817	Schrank	2592	14.185	43	41
3818	Schulden	13334	72.974	43	42
3819	Schweigen	10209	55.872	43	43
3820	Soll	7859	43.011	43	42
3821	Soziologe	3220	17.622	43	43
3822	Steffen	5127	28.059	43	41
3823	Times	12473	68.262	43	42
3824	Tourismus	9976	54.596	43	42
3825	Transport	8278	45.304	43	41
3826	Verfahrens	5654	30.943	43	43
3827	Wechsel	12026	65.816	43	42
3828	Zentrale	7952	43.52	43	43
3829	Zwecke	5420	29.662	43	43
3830	abends	10527	57.612	43	43
3831	allgemein	9276	50.766	43	43
3832	angeboten	18461	101.033	43	43
3833	bayerischen	10418	57.015	43	43
3834	befriedigt	1777	9.725	43	43
3835	begründete	10892	59.61	43	43
3836	denkbar	9680	52.977	43	43
3837	derzeitige	5520	30.21	43	43
3838	desto	12888	70.533	43	43
3839	dreißig	11020	60.31	43	43
3840	einerseits	10224	55.954	43	43
3841	enorme	4092	22.395	43	41
3842	entsprechender	3304	18.082	43	43
3843	entwickeln	21384	117.03	43	43
3844	ernüchtert	475	2.6	43	43
3845	Etat	6802	37.226	43	43
3846	Fonds	8697	47.597	43	43
3847	Gefährdung	4084	22.351	43	43
3848	Gros	1946	10.65	43	43
3849	Herausgeber	5512	30.166	43	43
3850	Hinter	12325	67.452	43	42
3851	Innenstadt	16250	88.933	43	43
3852	Investor	6603	36.137	43	41
3853	Jeden	5356	29.312	43	42
3854	Jedenfalls	8212	44.942	43	42
3855	Kapitel	8283	45.331	43	43
3856	folgendes	1755	9.605	43	42
3857	gegründet	20832	114.009	43	43
3858	gelte	9246	50.601	43	43
3859	gerecht	10228	55.976	43	42
3860	gewissen	9489	51.931	43	43
3861	indirekt	5550	30.374	43	42
3862	interessierten	3395	18.58	43	43
3863	jemals	8420	46.081	43	41
3864	kritisch	9500	51.991	43	42
3865	legte	16661	91.182	43	43
3866	locker	8065	44.138	43	43
3867	mehrmals	7057	38.621	43	43
3868	mitunter	6618	36.219	43	43
3869	prinzipiell	4059	22.214	43	43
3870	radikale	6833	37.396	43	42
3871	rief	16787	91.872	43	43
3872	sachlich	2947	16.128	43	43
3873	Konsequenz	9299	50.891	43	43
3874	Kontinuität	3894	21.311	43	41
3875	Konzerne	7976	43.651	43	43
3876	Kuhn	4733	25.903	43	39
3877	Künstlern	7431	40.668	43	43
3878	Lars	6052	33.121	43	42
3879	Literaturhaus	2670	14.612	43	40
3880	Lust	19220	105.187	43	43
3881	Mannes	12982	71.048	43	43
3882	Marx	6951	38.041	43	42
3883	Netzwerk	6925	37.899	43	41
3884	Perspektiven	7644	41.834	43	43
3885	Pflanzen	9214	50.426	43	43
3886	Produktionen	5304	29.028	43	43
3887	Propaganda	6677	36.542	43	42
3888	RWE	6900	37.762	43	40
3889	Lesben	8118	44.428	42	42
3890	Malerei	6204	33.953	42	41
3891	Meer	17300	94.679	42	40
3892	Minderheiten	7998	43.771	42	42
3893	Motive	7446	40.75	42	42
3894	Möllemann	5775	31.605	42	42
3895	Nürnberg	10984	60.113	42	42
3896	Party	12133	66.401	42	41
3897	Planungen	6393	34.988	42	42
3898	Recherchen	4410	24.135	42	42
3899	Rechtsextremismus	5348	29.268	42	42
3900	Reden	9091	49.753	42	41
3901	SPD-Fraktionschef	4088	22.373	42	42
3902	Steinmeier	4177	22.86	42	40
3903	Strafanträge	132	0.722	42	41
3904	Szenario	4218	23.084	42	41
3905	Teilen	15399	84.275	42	41
3906	Therapie	5995	32.809	42	40
3907	Tier	10379	56.802	42	42
3908	Tour	12587	68.886	42	42
3909	Umzug	9581	52.435	42	42
3910	Unterkunft	3520	19.264	42	41
3911	Variante	8349	45.692	42	42
3912	Versuche	10248	56.085	42	42
3913	treten	21315	116.652	42	41
3914	tritt	23670	129.541	42	41
3915	verlieren	22631	123.854	42	42
3916	verspricht	14914	81.621	42	41
3917	welchem	9709	53.135	42	42
3918	22.	13182	72.142	42	42
3919	AKW	10358	56.687	42	42
3920	Alfred	8857	48.472	42	41
3921	Angeklagte	10569	57.842	42	41
3922	Antje	6063	33.181	42	41
3923	Argument	13275	72.651	42	42
3924	Aspekt	5581	30.544	42	42
3925	Auftakt	9561	52.325	42	42
3926	Auseinandersetzungen	15470	84.664	42	42
3927	Ausstellungen	7061	38.643	42	42
3928	BKA	5146	28.163	42	41
3929	Bands	9600	52.539	42	40
3930	Benjamin	7284	39.864	42	41
3931	Brasilien	13990	76.564	42	42
3932	Büros	8111	44.39	42	42
3933	Chile	7003	38.326	42	41
3934	Claudia	11170	61.131	42	42
3935	Container	4666	25.536	42	42
3936	Detlef	6143	33.619	42	40
3937	Dritten	12104	66.243	42	40
3938	Einbürgerung	2369	12.965	42	41
3939	Einerseits	5292	28.962	42	42
3940	finanziert	16146	88.363	42	42
3941	geschlagen	13448	73.598	42	42
3942	gesunde	3017	16.511	42	42
3943	gäbe	13486	73.806	42	40
3944	hierzulande	11601	63.49	42	42
3945	höchsten	10525	57.601	42	42
3946	individuelle	5714	31.271	42	42
3947	internen	6860	37.543	42	41
3948	lebenden	11421	62.505	42	42
3949	leeren	7829	42.846	42	42
3950	lehnte	11128	60.901	42	42
3951	massive	7311	40.012	42	42
3952	medizinische	6481	35.469	42	42
3953	offensiv	3197	17.497	42	42
3954	polnischen	12886	70.522	42	41
3955	reagieren	13418	73.434	42	42
3956	setzte	25260	138.242	42	42
3957	sexuellen	7739	42.354	42	41
3958	Waffenstillstand	6801	37.22	42	41
3959	Weiss	4201	22.991	42	41
3960	Werden	6280	34.369	42	42
3961	Westerwelle	7404	40.52	42	41
3962	Wobei	5834	31.928	42	42
3963	Zwangsverwaltung	187	1.023	42	41
3964	and	21165	115.831	42	41
3965	befindet	16974	92.895	42	42
3966	berechtigte	1479	8.094	42	42
3967	berichten	17603	96.337	42	42
3968	besseren	11822	64.699	42	42
3969	dahinter	7907	43.273	42	42
3970	derer	6402	35.037	42	41
3971	erklärten	11528	63.09	42	42
3972	Elisabeth	6891	37.713	42	42
3973	Festnahme	7522	41.166	42	42
3974	Gesetzes	6347	34.736	42	42
3975	Graf	8118	44.428	42	41
3976	Handlung	7310	40.006	42	42
3977	Harry	9155	50.103	42	41
3978	Ingo	6019	32.941	42	42
3979	Julia	8370	45.807	42	42
3980	Karte	9620	52.648	42	41
3981	Klinik	8257	45.189	42	42
3982	El	13087	71.622	41	40
3983	Elbe	9907	54.219	41	40
3984	Entsetzen	3561	19.489	41	39
3985	Entwicklungen	7741	42.365	41	41
3986	Fahnder	2093	11.455	41	41
3987	Gebiete	9240	50.568	41	41
3988	Hassemer	2570	14.065	41	39
3989	Hinsehen	1424	7.793	41	40
3990	Hände	20547	112.449	41	40
3991	Kai	7038	38.517	41	41
3992	Kasse	9896	54.159	41	41
3993	Kilogramm	6355	34.78	41	41
3994	Kindes	6778	37.095	41	41
3995	sozialer	8731	47.783	41	39
3996	spanische	7378	40.378	41	40
3997	umfassende	5816	31.83	41	41
3998	unmissverständlich	934	5.112	41	41
3999	übertragen	12447	68.12	41	41
4000	Konflikte	12829	70.21	41	41
4001	Konkurrenten	8634	47.252	41	41
4002	Kuba	10248	56.085	41	41
4003	Kultursenator	5077	27.785	41	41
4004	Körting	5228	28.612	41	39
4005	Lemke	5337	29.208	41	38
4006	Lösungen	8555	46.82	41	41
4007	Mandat	8173	44.729	41	41
4008	NDR	7089	38.797	41	41
4009	Nordkorea	6592	36.077	41	40
4010	Ohren	11853	64.869	41	38
4011	Opel	5460	29.881	41	39
4012	Philosophie	8353	45.714	41	40
4013	Präsentation	5952	32.574	41	41
4014	Qualifikation	5604	30.669	41	41
4015	Risiken	9372	51.291	41	41
4016	Schulte	4727	25.87	41	41
4017	Sitzen	3499	19.149	41	40
4018	Solange	9717	53.179	41	41
4019	Ströbele	4905	26.844	41	37
4020	Teams	9309	50.946	41	41
4021	Touristen	15195	83.159	41	41
4022	Uhren	1736	9.501	41	36
4023	Vattenfall	5219	28.562	41	38
4024	Verlage	3885	21.262	41	41
4025	Vorbereitung	9162	50.142	41	41
4026	Vorgänger	9250	50.623	41	41
4027	Vorlage	9734	53.272	41	40
4028	Zugang	16592	90.804	41	41
4029	ausländischer	6132	33.559	41	41
4030	einstimmig	6016	32.924	41	41
4031	entstanden	21069	115.306	41	41
4032	24.	12275	67.178	41	40
4033	29	11706	64.064	41	41
4034	Armutszeugnis	845	4.625	41	41
4035	Auschwitz	7906	43.268	41	41
4036	Autonomie	6625	36.257	41	41
4037	Befragung	3690	20.195	41	41
4038	Bereitschaft	10263	56.167	41	41
4039	Berufung	12892	70.555	41	41
4040	Bevor	8518	46.617	41	41
4041	Bezüge	2886	15.794	41	41
4042	Dame	10739	58.772	41	40
4043	Darlehen	2649	14.497	41	41
4044	Demonstrationen	12768	69.876	41	40
4045	Deutsch	14800	80.997	41	40
4046	Diagnosen	512	2.802	41	40
4047	Dietmar	5170	28.294	41	40
4048	Distanz	10630	58.176	41	41
4049	Dänemark	10273	56.222	41	39
4050	Eigentümer	7809	42.737	41	41
4051	Einwanderer	6851	37.494	41	41
4052	geschaffen	19832	108.536	41	41
4053	hängt	22917	125.42	41	41
4054	illegalen	8568	46.891	41	41
4055	japanischen	11831	64.748	41	41
4056	klassische	8367	45.791	41	41
4057	mache	17022	93.158	41	41
4058	mutig	2974	16.276	41	41
4059	mögen	12716	69.592	41	41
4060	normalen	11467	62.756	41	41
4061	sobald	7147	39.114	41	41
4062	gegenwärtigen	7095	38.829	40	39
4063	gewisser	4836	26.466	40	39
4064	holen	14386	78.731	40	39
4065	humanitäre	4602	25.186	40	38
4066	klären	10211	55.883	40	40
4067	kostenlose	3547	19.412	40	40
4068	lokalen	8621	47.181	40	40
4069	mutmaßlichen	6998	38.299	40	40
4070	nachhaltig	5207	28.497	40	40
4071	nein	14067	76.986	40	40
4072	Kollegin	5909	32.339	40	40
4073	Konrad	6825	37.352	40	40
4074	Kuratel	128	0.701	40	40
4075	Kühlschrank	2788	15.258	40	39
4076	Landesparteitag	3184	17.425	40	40
4077	Loyalität	2346	12.839	40	40
4078	Mecklenburg-Vorpommern	8280	45.315	40	40
4079	Mittag	5676	31.064	40	40
4080	Monats	5713	31.266	40	40
4081	Name	22093	120.91	40	40
4082	Nationalsozialismus	7056	38.616	40	40
4083	Naumann	4227	23.133	40	39
4084	Nigeria	6921	37.877	40	39
4085	Prinzipien	5829	31.901	40	39
4086	Problematik	2901	15.877	40	40
4087	Fotografien	4395	24.053	40	39
4088	Freie	6751	36.947	40	40
4089	Gebieten	12355	67.616	40	40
4090	Gefangene	8542	46.748	40	40
4091	Geiseln	6390	34.971	40	40
4092	Hindernisse	2559	14.005	40	39
4093	Ihrem	7310	40.006	40	39
4094	Kameras	6669	36.498	40	40
4095	Klimaschutz	6008	32.88	40	40
4096	Knast	10451	57.196	40	40
4097	sozialdemokratische	4908	26.86	40	40
4098	standen	19951	109.187	40	40
4099	strenge	3493	19.116	40	40
4100	stärksten	5635	30.839	40	40
4101	umfangreiche	3634	19.888	40	40
4102	verbessern	11414	62.466	40	40
4103	verändern	11590	63.43	40	40
4104	wahr	12852	70.336	40	40
4105	Ägypten	9448	51.707	40	38
4106	öffentlicher	7581	41.489	40	40
4107	15.000	8632	47.241	40	40
4108	19.30	9534	52.177	40	40
4109	1968	9647	52.796	40	40
4110	300.000	7461	40.832	40	39
4111	500.000	6900	37.762	40	40
4112	Abstand	9410	51.499	40	40
4113	Akteure	6055	33.138	40	40
4114	Angelika	4598	25.164	40	39
4115	Anschluss	5878	32.169	40	40
4116	Arbeitslose	10439	57.13	40	39
4117	Arbeitsplatz	10685	58.477	40	40
4118	Armut	14847	81.254	40	40
4119	Belgien	8854	48.456	40	39
4120	Bereichen	11271	61.684	40	39
4121	Bildungssenator	3454	18.903	40	39
4122	Blair	8972	49.102	40	40
4123	Bundespräsident	6474	35.431	40	40
4124	Darum	5920	32.399	40	40
4125	Regale	1573	8.609	40	38
4126	Regierungspartei	5224	28.59	40	40
4127	Ronald	6337	34.681	40	40
4128	Schild	5326	29.148	40	39
4129	Schreibtisch	5525	30.237	40	39
4130	Sicher	10447	57.174	40	40
4131	Sieben	7444	40.739	40	40
4132	Software	4123	22.564	40	38
4133	Sollten	6104	33.406	40	40
4134	Sozialarbeiter	3811	20.857	40	40
4135	Staatsanwälte	3874	21.202	40	39
4136	Stadtwerke	5867	32.109	40	39
4137	Sturm	10390	56.862	40	40
4138	Subventionen	8819	48.264	40	39
4139	Syrien	8823	48.286	40	39
4140	Tiergarten	7370	40.334	40	37
4141	Verteidigungsministerium	4632	25.35	40	40
4142	Verwendung	7286	39.875	40	40
4143	Voraussetzungen	10088	55.209	40	39
4144	Vorjahr	11883	65.033	40	40
4145	Wahlprogramm	2362	12.927	40	40
4146	Weniger	8867	48.527	40	39
4147	Wulff	6694	36.635	40	38
4148	Zeitplan	3990	21.836	40	40
4149	aktuell	6629	36.279	40	40
4150	akzeptieren	12183	66.675	40	40
4151	alternativen	5740	31.414	40	39
4152	betrachten	8903	48.724	40	40
4153	bewegen	19188	105.012	40	40
4154	deutlicher	7259	39.727	40	40
4155	dienen	14225	77.85	40	40
4156	dramatisch	6408	35.07	40	40
4157	erforderlichen	3240	17.732	40	40
4158	erfüllen	11508	62.981	40	40
4159	Vorwürfen	4728	25.875	39	39
4160	Zahlung	4886	26.74	39	38
4161	abgeschlossen	16180	88.55	39	39
4162	angenommen	13591	74.381	39	39
4163	aufgefordert	19098	104.519	39	39
4164	ausführlich	4681	25.618	39	39
4165	ausgesetzt	14025	76.756	39	39
4166	bestehenden	9336	51.094	39	39
4167	beteiligen	15179	83.071	39	39
4168	bewegt	14462	79.147	39	39
4169	bezogen	6891	37.713	39	39
4170	diverse	6936	37.959	39	39
4171	einzig	10255	56.123	39	39
4172	einziges	10000	54.728	39	39
4173	entschied	11148	61.011	39	39
4174	erhielten	8796	48.139	39	39
4175	erleben	14893	81.506	39	39
4176	Farbe	11640	63.703	39	39
4177	Farben	10639	58.225	39	37
4178	Flaschen	5203	28.475	39	38
4179	Generationen	8122	44.45	39	39
4180	Gästen	5963	32.634	39	39
4181	Honecker	5806	31.775	39	37
4182	Hätte	6234	34.117	39	39
4183	Infos	12928	70.752	39	39
4184	Journalistin	6367	34.845	39	39
4185	Justizministerin	3015	16.5	39	39
4186	Knapp	7179	39.289	39	38
4187	formuliert	11655	63.785	39	39
4188	fürchten	14478	79.235	39	39
4189	gearbeitet	18129	99.216	39	39
4190	geltenden	5888	32.224	39	39
4191	informieren	10649	58.28	39	39
4192	leichter	12317	67.408	39	39
4193	mancher	8666	47.427	39	39
4194	morgigen	3632	19.877	39	39
4195	niederländische	4110	22.493	39	39
4196	präzise	4588	25.109	39	39
4197	rechtswidrig	4105	22.466	39	39
4198	religiöse	6961	38.096	39	38
4199	sammeln	9384	51.357	39	39
4200	seinerseits	3550	19.428	39	39
4201	seinerzeit	8584	46.978	39	39
4202	Kunsthalle	7306	39.984	39	38
4203	Legitimation	2975	16.282	39	39
4204	Lehrerin	6933	37.943	39	37
4205	Mordes	6408	35.07	39	38
4206	Müll	11388	62.324	39	39
4207	Nachrichten	12809	70.101	39	39
4208	OLG	2708	14.82	39	36
4209	Plattform	4454	24.376	39	38
4210	Proben	4270	23.369	39	38
4211	SPD-Chef	3908	21.388	39	38
4212	SPD-Politiker	3622	19.822	39	39
4213	Sachsen-Anhalt	8563	46.863	39	39
4214	San	13141	71.918	39	39
4215	Sexualität	6194	33.898	39	39
4216	Sicherheitsrisiko	1060	5.801	39	39
4217	Soziales	4788	26.204	39	39
4218	Staatspräsident	7632	41.768	39	38
4219	Stadtentwicklung	5796	31.72	39	39
4220	Stadträte	924	5.057	39	38
4221	Tode	10436	57.114	39	39
4222	Ursprünglich	5847	31.999	39	39
4223	Verbotsantrag	364	1.992	39	36
4224	Verletzungen	7560	41.374	39	39
4225	Vernunft	6880	37.653	39	36
4226	Vielfalt	8974	49.113	39	39
4227	steigen	19696	107.792	39	39
4228	sterben	14262	78.053	39	39
4229	still	8827	48.308	39	39
4230	trat	16499	90.295	39	39
4231	ursprünglich	15227	83.334	39	39
4232	vermitteln	12366	67.676	39	39
4233	warf	15377	84.155	39	39
4234	weiße	12070	66.056	39	39
4235	übernommen	18029	98.669	39	39
4236	1979	9142	50.032	39	39
4237	AFP	20300	111.097	39	39
4238	Absicht	11258	61.613	39	38
4239	Abteilung	10283	56.277	39	38
4240	Abwehr	5678	31.074	39	39
4241	Adam	5367	29.372	39	39
4242	Agentur	7937	43.437	39	39
4243	Arbeitskreis	3997	21.875	39	39
4244	Arbeitslosengeld	5547	30.358	39	39
4245	Argentinien	9397	51.428	39	37
4246	Auflagen	7038	38.517	39	38
4247	Aufmerksamkeit	13632	74.605	39	39
4248	Autofahrer	7639	41.807	39	39
4249	Beschäftigung	9104	49.824	39	39
4250	Bundeskanzlerin	3733	20.43	39	39
4251	Delegierte	3099	16.96	39	39
4252	Effekt	6024	32.968	39	39
4253	Einfluss	14013	76.69	39	39
4254	150.000	5202	28.469	38	38
4255	Agenda	6285	34.396	38	38
4256	Angelegenheit	9574	52.396	38	38
4257	Anne	8069	44.16	38	36
4258	Annette	6986	38.233	38	38
4259	Anwältin	3494	19.122	38	37
4260	Aufnahmen	6676	36.536	38	38
4261	Bedauern	2039	11.159	38	38
4262	Beispiele	7380	40.389	38	38
4263	Café	10627	58.159	38	38
4264	Dienstagabend	3989	21.831	38	38
4265	Diktatur	7931	43.405	38	38
4266	Dortmund	15784	86.382	38	38
4267	Edmund	6489	35.513	38	38
4268	Eher	5082	27.813	38	38
4269	faktisch	4507	24.666	38	38
4270	fehlen	18377	100.573	38	38
4271	gewählten	4797	26.253	38	37
4272	hessische	4559	24.95	38	38
4273	höheren	11078	60.627	38	38
4274	inhaltlich	5740	31.414	38	38
4275	irakische	8707	47.652	38	37
4276	kleinere	8143	44.565	38	38
4277	nachträglich	3940	21.563	38	38
4278	schräg	2313	12.659	38	38
4279	schwierigen	7159	39.18	38	38
4280	seither	8141	44.554	38	38
